batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6e	backend/app/services/agent/candidate_store.py	_optional_text	1	0	0	5	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_candidate_set_evidence	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_candidate_set_coverage	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_candidate_set_constraints	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_service_conditions	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_timing_metrics	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_comparison_option	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_admit_watched_record	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/candidate_store.py	_attempt_watched_presentation	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_waypoint_label	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_normalized_place	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_bounded_scope_values	1	0	0	4	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_borough_scope	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_named_area_scope	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_named_near_scope	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_place_by_id	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_place_by_ordinal	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_presented_context_rows	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/discovery_store.py	_record_context	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/events.py	_trusted_https_url	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/events.py	normalized_source	2	0	0	3	public
batch6e	backend/app/services/agent/loop.py	_eval_bounded_binop	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/loop.py	_arithmetic_shortcut_events	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/loop.py	_live_turn_events	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/output_projection.py	_project_mapping	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/output_projection.py	_projected_place_ids	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/output_projection.py	_restore_row_place_id	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_place_label	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_saved_place_labels	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_trip_digest	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_accepted_endpoint_digest	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_accepted_route_comparison	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_route_card_digest	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_active_trip_digest	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_pending_trip_digest	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/prompt.py	_json_context_lines	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/request.py	_strip_unsupported_sampling_and_thinking	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/request.py	_reject_unsupported_prefill	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/stream.py	_next_item_timeout_s	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/stream.py	_web_research_expired	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/stream.py	_citation_source	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/model/stream.py	_extend_cited_sources	1	0	0	2	inline-candidate-or-same-file
