FIXED_POINT=5193b08
unit_id	files	action	reason	evidence	loc_delta	cognitive_check	status
wave0-inventory	.audit/backend-refactor/*	leave	inventory snapshot at 5193b08; no production edits	section 3.2 commands + git diffs + rg test seams	0	pass	done
wave0-stdout-seams	backend/tests	leave	plan said no capsys/capfd/builtins.print hits; measured 12 hits in 6 files; record for Wave 6	rg -n capsys|capfd|builtins.print backend/tests	0	pass	done
wave0-move-lock	quality/baseline.json	leave	regenerated move-lock equals plan 2.2 (57 files, 0 extra, 0 missing)	complexipy + baseline file paths	0	pass	done
w1-u1-deadline	backend/app/services/agent/loop.py,backend/tests/test_agent_loop.py,backend/tests/conversation/test_conversation_cancellation_recovery.py,backend/tests/_fake_anthropic.py,backend/scripts/release/provider_fault_cases.py	delete	delete duplicate AGENT_TURN_DEADLINE_S in loop.py; use session_module; reload session on loop test reload so env patches still apply	pytest DeadlineTests DeadlineRecoveryTests destination_discovery; ruff check unit files; check_quality --cognitive-only	-1	pass	done
w1-u2-magic-key	backend/app/services/agent/turn/tool_round.py,backend/app/services/agent/turn/stream.py,backend/tests/test_goal_aware_tool_round.py	rename	replace __tool_result_message__ dict with frozen ToolRoundResultMessage(role, content, deadline_reached, tool_outcomes); extra fields required to keep deadline/outcomes	pytest test_goal_aware_tool_round 12 passed; _surface_results 3->3; _capture_tool_round_message 2->1	+8	pass	done
w1-u3-mapping	backend/app/services/agent/turn/completion.py,backend/app/services/agent/tools/complete_turn.py,backend/tests/test_completion_policy.py	unify	projected is a hypothetical snapshot not the model output contract; convert to TurnEvidence via _evidence_from_projected; delete _mapping_facts; keep _object_facts	pytest 55 passed; evaluate_completion stayed 12; _facts 4->2; _terminate_turn stayed 2	-8	pass	done
w1-u3-inline-object-facts	backend/app/services/agent/turn/completion.py	leave	leave: metric locked; inlining _object_facts into _facts raised _facts 4->10 in locked completion.py	complexipy file_complexity completion.py	0	pass	done
w1-u4-inline	backend/app/services/agent/tools/route/prepare_route_persistence.py,backend/app/services/agent/trip_state.py,backend/app/services/agent/transcript_store.py	inline	inline one-caller helpers whose callers stayed at or below cognitive 10: _resolved_place_match_key, _dict_place_match_key, _snapshot_route_evidence, _normalized_waypoints, _card_matches_itinerary	pytest 31 passed; ruff check files; check_quality --cognitive-only 0 new	-40	pass	done
w1-u4-bind-what-if	backend/app/services/agent/tools/route/present_route_commit.py	leave	leave: metric locked; inlining _bind_what_if_route raised _bind_presented_route 1->3 in locked present_route_commit.py	complexipy then git checkout -- present_route_commit.py	0	pass	done
w1-u4-web-search-tool	backend/app/services/agent/loop.py	leave	leave _web_search_tool in place; Wave 2 moves it to model/request.py	plan section 6 wave 2 item 1	0	pass	done
w1-u5-dead	backend/app/services/agent/profile.py	delete	delete unused top-level _PREFERENCE_KEYS (exactly one backend hit)	rg -n _PREFERENCE_KEYS backend; pytest 20 passed	-10	pass	done
w1-u4-leave-_optional_text	backend/app/services/agent/candidate_store.py	leave	leave: 4 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_candidate_set_evidence	backend/app/services/agent/candidate_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_candidate_set_coverage	backend/app/services/agent/candidate_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_candidate_set_constraints	backend/app/services/agent/candidate_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_service_conditions	backend/app/services/agent/candidate_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_timing_metrics	backend/app/services/agent/candidate_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
