
Count Name                          
----- ----                          
   18 execute                       
    7 _text                         
    5 _parse_time                   
    4 _normalized_name              
    4 _bounded_text                 
    4 _key                          
    3 _coords                       
    3 _coordinates                  
    3 _route_ids                    
    2 snapshot                      
    2 _positive_int                 
    2 _goal_is_unresolved           
    2 add_visible_events            
    2 _dict_rows                    
    2 _facts                        
    2 reset_for_new_trip            
    2 _name_matches                 
    2 _historical_pattern           
    2 _coverage_note                
    2 _incident_evidence            
    2 _finite_coordinate            
    2 fetch_json                    
    2 _cache_key                    
    2 _finite                       
    2 _validate_goal_key            
    2 _merged_timings               
    2 _timestamp                    
    2 _coordinate                   
    2 _bounded_timeout              
    2 _event_identity               
    2 _bus_stop_record              
    2 _identity_key                 
    2 _finite_price                 
    2 _coverage_status              
    2 _as_list                      
    2 _completed_sources            
    2 prepare_single_leg            
    2 _presentation_identity        
    2 _merge_dicts                  
    2 build_preparation_dependencies
    2 _coordinate_key               
    2 _route_score                  
    2 _route_lines                  
    2 resolve_named_place           
    2 _nonnegative_int              



