count	name
18	execute
6	_text
4	_bounded_text
4	_parse_time
3	_coordinates
3	_coords
3	_key
3	_normalized_name
3	_route_ids
2	_as_list
2	_bus_stop_record
2	_cache_key
2	_completed_sources
2	_coordinate
2	_coordinate_key
2	_coverage_note
2	_coverage_status
2	_dict_rows
2	_event_identity
2	_facts
2	_finite_price
2	_identity_key
2	_incident_evidence
2	_merge_dicts
2	_name_matches
2	_presentation_identity
2	_route_lines
2	_timestamp
2	add_visible_events
2	build_preparation_dependencies
2	coverage
2	enrich_route
2	fetch_json
2	prepare_single_leg
2	reset_for_new_trip
2	resolve_named_place
2	snapshot
