file	name	hit_lines	caller	callee_cc	caller_cc	baselined	decision	reason
backend/app/services/agent/candidate_store.py	_optional_text	5	store_candidate_set;store_candidate_set;store_candidate_set;store_candidate_set			no	leave	4 same-file callers
backend/app/services/agent/candidate_store.py	_candidate_set_evidence	2	store_candidate_set	7	5	false	leave	inlining would likely exceed 10
backend/app/services/agent/candidate_store.py	_candidate_set_coverage	2	store_candidate_set	6	5	false	try	one caller
backend/app/services/agent/candidate_store.py	_candidate_set_constraints	2	store_candidate_set	8	5	false	leave	inlining would likely exceed 10
backend/app/services/agent/candidate_store.py	_service_conditions	2	_comparison_option	6	7	false	leave	inlining would likely exceed 10
backend/app/services/agent/candidate_store.py	_timing_metrics	2	_comparison_option	2	7	false	try	one caller
backend/app/services/agent/candidate_store.py	_comparison_option	2	accepted_route_comparison	7	6	false	leave	inlining would likely exceed 10
backend/app/services/agent/candidate_store.py	_admit_watched_record	3	load_candidate_set;_attempt_watched_presentation			no	leave	2 same-file callers
backend/app/services/agent/candidate_store.py	_attempt_watched_presentation	2	_mark_presented_redis	4	7	false	try	one caller
backend/app/services/agent/discovery_store.py	_waypoint_label	2	display_waypoint_labels	3	7	false	try	one caller
backend/app/services/agent/discovery_store.py	_normalized_place	2	store_discovery_set	2	9	false	try	one caller
backend/app/services/agent/discovery_store.py	_bounded_scope_values	4	_borough_scope;_named_area_scope;_sanitized_search_scope			no	leave	3 same-file callers
backend/app/services/agent/discovery_store.py	_borough_scope	2	_sanitized_search_scope	1	10	true	leave	caller at 10
backend/app/services/agent/discovery_store.py	_named_area_scope	2	_sanitized_search_scope	2	10	true	leave	inlining would likely exceed 10
backend/app/services/agent/discovery_store.py	_named_near_scope	2	_sanitized_search_scope	1	10	true	leave	caller at 10
backend/app/services/agent/discovery_store.py	_place_by_id	2	resolve_place_reference	4	8	false	leave	inlining would likely exceed 10
backend/app/services/agent/discovery_store.py	_place_by_ordinal	2	resolve_place_reference	4	8	false	leave	inlining would likely exceed 10
backend/app/services/agent/discovery_store.py	_presented_context_rows	2	sanitized_discovery_context	1	7	false	try	one caller
backend/app/services/agent/discovery_store.py	_record_context	2	sanitized_discovery_context	1	7	false	try	one caller
backend/app/services/agent/events.py	_trusted_https_url	2	normalized_source	3	3	false	try	one caller
backend/app/services/agent/loop.py	_eval_bounded_binop	2	_eval_math_node	4	8	false	leave	inlining would likely exceed 10
backend/app/services/agent/loop.py	_arithmetic_shortcut_events	2	run_agent_turn	1	10	false	leave	caller at 10
backend/app/services/agent/loop.py	_live_turn_events	2	run_agent_turn	4	10	false	leave	inlining would likely exceed 10
backend/app/services/agent/model/output_projection.py	_project_mapping	2	project_model_value	10	5	false	leave	inlining would likely exceed 10
