name	added_in	hits_all	hits_non_test
limitedText	frontend/lib/canonical-itinerary-schema.ts	59	59
nonEmptyText	frontend/lib/canonical-itinerary-schema.ts	44	44
boundedInteger	frontend/lib/canonical-itinerary-schema.ts	40	40
boundedNumber	frontend/lib/canonical-itinerary-schema.ts	32	32
walkMinutes	frontend/components/smart-route/left-rail/live-data/route-steps.ts	73	28
isRecord	frontend/lib/mapbox-search.ts	9	9
stringIds	frontend/components/map/subway-network.ts	9	9
canonicalDurationMinutes	frontend/lib/agent-route-selection.ts	18	8
clockFromIso	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	12	8
optionalText	frontend/lib/mapbox-search.ts	7	7
actionHasType	frontend/lib/agent-chat-state.ts	6	6
nonEmptyTextList	frontend/lib/canonical-itinerary-schema.ts	6	6
nullableText	frontend/components/map/subway-network.ts	6	6
applyAgentEvent	frontend/lib/agent-chat-state.ts	156	5
finiteNumber	frontend/lib/mapbox-search.ts	5	5
firstPresentLabel	frontend/components/smart-route/chat/itinerary-event-adapter.ts	5	5
readJsonBody	frontend/lib/backend-proxy-core.ts	21	5
absentWhenNull	frontend/lib/trip-response.ts	4	4
canonicalWaypointCoordinates	frontend/components/smart-route/map/smart-route-map-helpers.ts	8	4
normalizeAlternateReason	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	11	4
parseCanonicalItinerary	frontend/lib/canonical-itinerary-schema.ts	10	4
shellPanelProps	frontend/app/page-parts.tsx	7	4
stepRouteId	frontend/components/smart-route/left-rail/live-data/route-steps.ts	4	4
stopPoint	frontend/components/map/route-stops-features.ts	4	4
transitMode	frontend/components/smart-route/left-rail/live-data/route-steps.ts	4	4
RecommendedRouteCard	frontend/components/smart-route/left-rail/route-view-itinerary.tsx	5	3
alternateLine	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	3	3
appendCanonicalLegs	frontend/components/smart-route/chat/itinerary-event-adapter.ts	3	3
applyDarkMapTheme	frontend/components/smart-route/map/smart-route-map-helpers.ts	10	3
assistantSurfaces	frontend/components/smart-route/chat/chat-message.tsx	3	3
buildHealth	frontend/components/smart-route/left-rail/live-data/alerts-feed.ts	11	3
canonicalTransferCount	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	6	3
compactFeedTitle	frontend/components/smart-route/left-rail/alert-feed-copy.ts	16	3
credentialFailureResponse	frontend/lib/backend-stream-proxy.ts	3	3
destinationCoordinatesFromRoute	frontend/app/page-parts.tsx	7	3
durationOrFallback	frontend/components/smart-route/left-rail/live-data/route-steps.ts	3	3
isEmptyFailedTurn	frontend/lib/agent-chat-state.ts	3	3
isValidCard	frontend/components/smart-route/chat/itinerary-view-model.ts	3	3
journeyDestination	frontend/components/smart-route/left-rail/route-view.tsx	3	3
journeyFitCoordinates	frontend/components/smart-route/map/smart-route-map-helpers.ts	9	3
liveDepartureFields	frontend/components/smart-route/left-rail/live-data/route-steps.ts	3	3
nearbyStationSelection	frontend/app/page-parts.tsx	6	3
normalizeTripCandidates	frontend/lib/route-planning.ts	8	3
parseSseFrame	frontend/lib/agent-chat-stream.ts	3	3
parseTripResponse	frontend/lib/trip-response.ts	29	3
routeCardsForSelection	frontend/app/page-parts.tsx	6	3
routeRailStatus	frontend/app/page-parts.tsx	8	3
routeStepToRailStep	frontend/components/smart-route/left-rail/live-data/route-steps.ts	11	3
