service_id,date,exception_type
AFA25GEN-1038-Sunday-00_C63,20251127,1
AFA25GEN-1038-Sunday-00_C63,20251225,1
AFA25GEN-1038-Sunday-00_C63,20260101,1
AFA25GEN-1038-Sunday-00_C63,20260222,2
AFA25GEN-1039-Saturday-00_C49,20260119,1
AFA25GEN-1039-Saturday-00_C49,20260216,2
AFA25GEN-1039-Saturday-00_C49,20260221,2
AFA25GEN-1093-Weekday-00_C9,20251127,2
AFA25GEN-1093-Weekday-00_C9,20251225,2
AFA25GEN-1093-Weekday-00_C9,20260101,2
AFA25GEN-1093-Weekday-00_C9,20260119,2
AFA25GEN-1093-Weekday-00_C9,20260216,2
AFA25GEN-1093-Weekday-00_C9,20260217,2
AFA25GEN-1093-Weekday-00_C9,20260218,2
AFA25GEN-1093-Weekday-00_C9,20260219,2
AFA25GEN-1093-Weekday-00_C9,20260220,2
AFA25GEN-1093-Weekday-00_C9,20260223,2
AFA25GEN-1093-Weekday-00_C9,20260224,2
AFA25GEN-2042-Saturday-00_C50,20260119,1
AFA25GEN-2042-Saturday-00_C50,20260216,2
AFA25GEN-2042-Saturday-00_C50,20260221,2
AFA25GEN-2048-Sunday-00_C10,20251127,1
AFA25GEN-2048-Sunday-00_C10,20251225,1
AFA25GEN-2048-Sunday-00_C10,20260101,1
AFA25GEN-2048-Sunday-00_C10,20260222,2
AFA25GEN-2100-Weekday-00_C39,20251127,2
AFA25GEN-2100-Weekday-00_C39,20251225,2
AFA25GEN-2100-Weekday-00_C39,20260101,2
AFA25GEN-2100-Weekday-00_C39,20260119,2
AFA25GEN-2100-Weekday-00_C39,20260216,2
AFA25GEN-2100-Weekday-00_C39,20260217,2
AFA25GEN-2100-Weekday-00_C39,20260218,2
AFA25GEN-2100-Weekday-00_C39,20260219,2
AFA25GEN-2100-Weekday-00_C39,20260220,2
AFA25GEN-2100-Weekday-00_C39,20260223,2
AFA25GEN-2100-Weekday-00_C39,20260224,2
AFA25GEN-3042-Saturday-00_C18,20260119,1
AFA25GEN-3042-Saturday-00_C18,20260216,2
AFA25GEN-3042-Saturday-00_C18,20260221,2
AFA25GEN-3044-Sunday-00_C17,20251127,1
AFA25GEN-3044-Sunday-00_C17,20251225,1
AFA25GEN-3044-Sunday-00_C17,20260101,1
AFA25GEN-3044-Sunday-00_C17,20260222,2
AFA25GEN-3093-Weekday-00_C34,20251127,2
AFA25GEN-3093-Weekday-00_C34,20251225,2
AFA25GEN-3093-Weekday-00_C34,20260101,2
AFA25GEN-3093-Weekday-00_C34,20260119,2
AFA25GEN-3093-Weekday-00_C34,20260216,2
AFA25GEN-3093-Weekday-00_C34,20260217,2
AFA25GEN-3093-Weekday-00_C34,20260218,2
AFA25GEN-3093-Weekday-00_C34,20260219,2
AFA25GEN-3093-Weekday-00_C34,20260220,2
AFA25GEN-3093-Weekday-00_C34,20260223,2
AFA25GEN-3093-Weekday-00_C34,20260224,2
AFA25GEN-4043-Saturday-00_C8,20260119,1
AFA25GEN-4043-Saturday-00_C8,20260216,2
AFA25GEN-4043-Saturday-00_C8,20260221,2
AFA25GEN-4049-Sunday-00_C24,20251127,1
AFA25GEN-4049-Sunday-00_C24,20251225,1
AFA25GEN-4049-Sunday-00_C24,20260101,1
AFA25GEN-4049-Sunday-00_C24,20260222,2
AFA25GEN-4104-Weekday-00_C40,20251127,2
AFA25GEN-4104-Weekday-00_C40,20251225,2
AFA25GEN-4104-Weekday-00_C40,20260101,2
AFA25GEN-4104-Weekday-00_C40,20260119,2
AFA25GEN-4104-Weekday-00_C40,20260216,2
AFA25GEN-4104-Weekday-00_C40,20260217,2
AFA25GEN-4104-Weekday-00_C40,20260218,2
AFA25GEN-4104-Weekday-00_C40,20260219,2
