service_id,date,exception_type
AFA25GEN-1038-Sunday-00_C62,20251127,1
AFA25GEN-1038-Sunday-00_C62,20251225,1
AFA25GEN-1038-Sunday-00_C62,20260101,1
AFA25GEN-1038-Sunday-00_C62,20260329,2
AFA25GEN-1038-Sunday-00_C62,20260405,2
AFA25GEN-1039-Saturday-00_C48,20260119,1
AFA25GEN-1039-Saturday-00_C48,20260216,1
AFA25GEN-1039-Saturday-00_C48,20260404,2
AFA25GEN-1093-Weekday-00_C7,20251127,2
AFA25GEN-1093-Weekday-00_C7,20251225,2
AFA25GEN-1093-Weekday-00_C7,20260101,2
AFA25GEN-1093-Weekday-00_C7,20260119,2
AFA25GEN-1093-Weekday-00_C7,20260216,2
AFA25GEN-1093-Weekday-00_C7,20260330,2
AFA25GEN-1093-Weekday-00_C7,20260331,2
AFA25GEN-1093-Weekday-00_C7,20260401,2
AFA25GEN-1093-Weekday-00_C7,20260402,2
AFA25GEN-1093-Weekday-00_C7,20260403,2
AFA25GEN-1093-Weekday-00_C7,20260406,2
AFA25GEN-2042-Saturday-00_C50,20260119,1
AFA25GEN-2042-Saturday-00_C50,20260216,1
AFA25GEN-2042-Saturday-00_C50,20260404,2
AFA25GEN-2048-Sunday-00_C6,20251127,1
AFA25GEN-2048-Sunday-00_C6,20251225,1
AFA25GEN-2048-Sunday-00_C6,20260101,1
AFA25GEN-2048-Sunday-00_C6,20260329,2
AFA25GEN-2048-Sunday-00_C6,20260405,2
AFA25GEN-2100-Weekday-00_C37,20251127,2
AFA25GEN-2100-Weekday-00_C37,20251225,2
AFA25GEN-2100-Weekday-00_C37,20260101,2
AFA25GEN-2100-Weekday-00_C37,20260119,2
AFA25GEN-2100-Weekday-00_C37,20260216,2
AFA25GEN-2100-Weekday-00_C37,20260330,2
AFA25GEN-2100-Weekday-00_C37,20260331,2
AFA25GEN-2100-Weekday-00_C37,20260401,2
AFA25GEN-2100-Weekday-00_C37,20260402,2
AFA25GEN-2100-Weekday-00_C37,20260403,2
AFA25GEN-2100-Weekday-00_C37,20260406,2
AFA25GEN-3042-Saturday-00_C16,20260119,1
AFA25GEN-3042-Saturday-00_C16,20260216,1
AFA25GEN-3042-Saturday-00_C16,20260404,2
AFA25GEN-3044-Sunday-00_C15,20251127,1
AFA25GEN-3044-Sunday-00_C15,20251225,1
AFA25GEN-3044-Sunday-00_C15,20260101,1
AFA25GEN-3044-Sunday-00_C15,20260329,2
AFA25GEN-3044-Sunday-00_C15,20260405,2
AFA25GEN-3093-Weekday-00_C33,20251127,2
AFA25GEN-3093-Weekday-00_C33,20251225,2
AFA25GEN-3093-Weekday-00_C33,20260101,2
AFA25GEN-3093-Weekday-00_C33,20260119,2
AFA25GEN-3093-Weekday-00_C33,20260216,2
AFA25GEN-3093-Weekday-00_C33,20260330,2
AFA25GEN-3093-Weekday-00_C33,20260331,2
AFA25GEN-3093-Weekday-00_C33,20260401,2
AFA25GEN-3093-Weekday-00_C33,20260402,2
